hiring_unit_id,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_2digit
60023237,_25,2012,0.0,1,0
60023237,_28,2011,0.0,1,0
60023237,_31,2016,0.0,2,0
60023277,_17,2011,0.0,2,0
60023277,_31,2012,0.0,1,0
60023380,_13,2013,0.0,1,0
60023380,_19,2017,0.0,1,0
60023380,_21,2013,0.0,1,0
60023380,_22,2011,1.0,1,1
60023380,_25,2012,1.0,1,1
60023380,_26,2012,0.0,1,0
60023380,_31,2013,0.0,1,0
60023380,_33,2015,1.0,1,1
60023797,_24,2012,0.0,1,0
60023797,_28,2012,0.0,1,0
60023813,_22,2017,0.0,1,0
60023813,_25,2013,0.0,1,0
60023813,_27,2016,0.0,1,0
60023813,_31,2016,0.0,1,0
60023813,_33,2017,0.0,1,0
60024045,_11,2015,0.0,1,0
60024045,_13,2015,0.0,1,0
60024045,_27,2017,0.0,1,0
60024542,_11,2015,0.0,1,0
60024542,_13,2017,0.0,2,0
60024542,_16,2012,0.0,1,0
60024542,_17,2016,0.0,1,0
60024542,_22,2012,0.0,1,0
60024542,_23,2015,0.0,1,0
60024542,_25,2013,0.0,1,0
60024542,_27,2016,1.0,1,1
60024542,_31,2017,0.0,1,0
60025084,_10,2013,0.0,1,0
60025084,_11,2013,0.0,3,0
60025084,_13,2012,0.0,1,0
60025084,_15,2016,0.0,1,0
60025084,_16,2012,0.0,2,0
60025084,_17,2012,0.0,1,0
60025084,_19,2017,0.0,3,0
60025084,_20,2017,0.0,1,0
60025084,_22,2011,0.0,1,0
60025084,_23,2012,0.0,1,0
60025084,_24,2013,0.0,2,0
60025084,_25,2012,0.0,1,0
60025084,_26,2011,1.0,1,1
60025084,_27,2012,0.0,1,0
60025084,_28,2012,0.0,1,0
60025084,_31,2011,0.0,2,0
60025084,_36,2017,1.0,1,1
60025234,_13,2017,1.0,1,1
60025256,_26,2015,0.0,1,0
60025278,_10,2011,0.0,1,0
60025278,_11,2015,0.0,2,0
60025278,_13,2011,0.0,1,0
60025278,_14,2017,1.0,1,1
60025278,_15,2012,0.0,2,0
60025278,_16,2011,1.0,1,1
60025278,_17,2011,0.0,1,0
60025278,_19,2012,0.0,2,0
60025278,_21,2011,0.0,1,0
60025278,_22,2011,0.0,2,0
60025278,_23,2015,0.0,3,0
60025278,_24,2013,0.0,2,0
60025278,_25,2011,0.0,3,0
60025278,_26,2012,0.0,1,0
60025278,_27,2013,0.5,2,0
60025278,_31,2011,0.0,3,0
60025278,_33,2015,0.0,1,0
60025278,_36,2012,0.0,1,0
60025441,_16,2011,0.0,1,0
60025441,_22,2017,1.0,1,1
60025441,_25,2013,0.0,1,0
60025441,_31,2013,0.0,1,0
60025578,_11,2017,0.0,1,0
60025578,_13,2015,0.0,1,0
60025578,_16,2016,0.0,1,0
60025578,_17,2013,0.0,1,0
60025578,_22,2011,0.0,1,0
60025578,_25,2013,0.0,1,0
60025578,_27,2015,0.0,1,0
60025665,_16,2015,0.0,1,0
60025665,_23,2017,0.0,2,0
60025761,_10,2013,0.0,2,0
60025761,_13,2011,1.0,1,1
60025761,_15,2013,0.0,1,0
60025761,_16,2011,0.0,1,0
60025761,_17,2012,0.0,2,0
60025761,_19,2013,0.0,1,0
60025761,_20,2013,0.0,1,0
60025761,_21,2015,1.0,1,1
60025761,_22,2012,0.3333333333333333,3,0
60025761,_24,2016,1.0,1,1
60025761,_25,2011,0.0,1,0
60025761,_26,2016,0.0,1,0
60025761,_27,2012,0.0,1,0
60025761,_29,2015,0.0,1,0
60025761,_31,2012,0.0,1,0
60025761,_33,2016,0.0,1,0
60026282,_16,2017,0.0,2,0
60026282,_22,2015,0.0,1,0
60026282,_23,2013,0.0,1,0
60026311,_16,2015,0.0,2,0
60026601,_16,2012,0.0,1,0
60026601,_17,2015,1.0,1,1
60026601,_22,2015,0.0,1,0
60026601,_25,2017,0.5,2,0
60026601,_31,2011,0.0,1,0
60026707,_13,2013,0.0,1,0
60026852,_11,2012,0.0,1,0
60026981,_23,2017,0.0,1,0
60027021,_17,2012,0.0,1,0
60027021,_22,2016,0.0,1,0
