hiring_unit_id,subfield_most_frequent,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_4digit
60014966,_2202,_22,2012,0.0,1,0
60014966,_2207,_22,2017,0.0,1,0
60014966,_2208,_22,2016,0.0,2,0
60014966,_2210,_22,2012,1.0,1,1
60014966,_2211,_22,2015,0.0,1,0
60014966,_2300,_23,2015,0.0,1,0
60014966,_2403,_24,2017,0.0,1,0
60014966,_2500,_25,2012,0.0,3,0
60014966,_2504,_25,2011,0.0,1,0
60014966,_2600,_26,2011,0.0,1,0
60014966,_2604,_26,2015,0.0,1,0
60014966,_2608,_26,2012,1.0,1,1
60014966,_2611,_26,2012,0.0,1,0
60014966,_2613,_26,2015,0.0,1,0
60014966,_2700,_27,2012,1.0,1,1
60014966,_2705,_27,2012,0.0,1,0
60014966,_2708,_27,2016,0.0,1,0
60014966,_2730,_27,2015,0.0,1,0
60014966,_2739,_27,2013,0.0,1,0
60014966,_2800,_28,2012,0.0,1,0
60014966,_3003,_30,2015,0.0,1,0
60014966,_3100,_31,2011,0.0,2,0
60014966,_3103,_31,2012,0.0,1,0
60014966,_3104,_31,2011,0.0,2,0
60014966,_3106,_31,2012,0.0,1,0
60014966,_3305,_33,2016,0.0,1,0
60015487,_1110,_11,2017,0.0,1,0
60015742,_1111,_11,2013,0.0,1,0
60015742,_1303,_13,2011,0.0,1,0
60015742,_1503,_15,2013,0.0,1,0
60015742,_1600,_16,2013,0.6666666666666666,3,0
60015742,_1606,_16,2011,0.0,1,0
60015742,_1906,_19,2013,0.0,1,0
60015742,_1909,_19,2013,1.0,1,1
60015742,_2208,_22,2017,0.0,1,0
60015742,_2500,_25,2013,0.0,1,0
60015742,_2741,_27,2017,0.0,1,0
60015742,_3104,_31,2015,1.0,1,1
60016087,_1500,_15,2017,0.0,1,0
60016087,_1600,_16,2011,0.0,1,0
60016087,_1909,_19,2017,0.0,1,0
60016211,_1902,_19,2012,0.0,1,0
60016211,_1911,_19,2015,0.0,1,0
60016211,_2305,_23,2015,0.0,1,0
60016358,_1000,_10,2017,0.0,1,0
60016521,_1000,_10,2012,1.0,1,1
60016521,_1102,_11,2016,0.0,1,0
60016521,_1109,_11,2012,0.0,1,0
60016521,_1110,_11,2016,0.0,1,0
60016521,_1303,_13,2015,0.5,2,0
60016521,_1305,_13,2016,0.0,1,0
60016521,_1307,_13,2015,0.25,4,0
60016521,_1311,_13,2015,0.0,1,0
60016521,_1312,_13,2012,1.0,1,1
60016521,_1600,_16,2011,0.0,2,0
60016521,_1605,_16,2016,0.0,1,0
60016521,_1702,_17,2013,1.0,1,1
60016521,_1706,_17,2015,0.0,1,0
60016521,_1909,_19,2012,0.0,1,0
60016521,_2403,_24,2015,0.0,1,0
60016521,_2500,_25,2017,0.0,2,0
60016521,_2502,_25,2012,0.0,1,0
60016521,_2504,_25,2013,0.0,1,0
60016521,_2604,_26,2016,0.0,1,0
60016521,_2700,_27,2013,0.0,1,0
